Seat no.,Form,Class,Class no.,Name
1,5,A,12,Roma Osborn
2,5,A,14,Serita Boehm
3,5,A,24,Nicolette Fanning
4,5,A,26,Simona Nettles
5,5,A,28,Micah Connelly
6,5,B,3,Morton Washburn
7,5,B,4,Waldo Vaughan
8,5,B,7,Francie Gunn
9,5,B,11,Edris Beckett
10,5,B,12,Terrie Cowley
11,5,B,21,Britt Osteen
12,5,B,23,Fermin Hargis
13,5,B,26,Deshawn Lockhart
14,5,B,31,Albina Mccombs
15,5,C,4,Carry Burkett
16,5,C,9,Santos Parham
17,5,C,13,Loria Sumpter
18,5,C,14,Anamaria Newberry
19,5,C,17,Les True
20,5,C,19,Warner Stiltner
21,5,C,22,Nathalie Urban
22,5,C,23,Marylouise Dillon
23,5,C,24,Boyce Guinn
24,5,C,26,Zena Keenan
25,5,C,29,Gale Mcgrath
26,5,C,31,Kiersten Branham
27,5,C,32,Emilee Springer
28,5,C,38,Carma Aiken
29,5,C,39,Alysia Shipp
30,5,D,2,Madelyn Kiser
31,5,D,3,Allyn Caskey
32,5,D,5,Yi Rinaldi
33,5,D,7,Jc Mize
34,5,D,9,Glynis Mcmillian
35,5,D,10,Phuong Boudreau
36,5,D,14,Otilia Fallon
37,5,D,16,Kristian Morse
38,5,D,17,Tanika Atherton
39,5,D,18,Margene Ely
40,5,D,19,Gussie Mortensen
41,5,D,22,Wilford Duffy
42,5,D,24,Mechelle Bustamante
43,5,D,25,Chan Word
44,5,D,27,Sindy Osorio
45,5,D,33,Elenora Shackelford
46,5,D,36,Deshawn Broderick
47,5,D,38,Elisha Hubert
48,5,D,40,Cyril Sheppard
49,5,E,1,Mitsue Quinonez
50,5,E,2,Lashandra Simms
51,5,E,5,Niesha Ridley
52,5,E,6,Jamar Bolt
53,5,E,10,Donte Molina
54,5,E,14,Winnie Reeder
55,5,E,15,Yelena Edgar
56,5,E,17,Novella Cone
57,5,E,18,Delphia Jean
58,5,E,19,Veda Macdonald
59,5,E,21,Jacqualine Driver
60,5,E,23,Selma Esposito
61,5,E,26,Chelsey Workman
62,5,E,27,Tenesha Sears
63,5,E,30,Tonja Porterfield
64,5,E,32,Lanita Weddle
65,5,E,33,Luvenia Whitaker
66,5,E,35,Samual Fain
67,5,E,38,Loraine Mello
