Seat no.,Form,Class,Class no.,Name
1,5,A,16,Mozella Herrington
2,5,A,28,Micah Connelly
3,5,B,1,Kathlyn Smallwood
4,5,B,13,Darleen Eaton
5,5,B,27,David Spicer
6,5,B,29,Winona Shifflett
7,5,B,34,Karrie Bollinger
8,5,C,4,Carry Burkett
9,5,C,13,Loria Sumpter
10,5,C,17,Les True
11,5,C,25,Reed Valle
12,5,C,29,Gale Mcgrath
13,5,C,31,Kiersten Branham
14,5,C,38,Carma Aiken
15,5,C,39,Alysia Shipp
16,5,D,2,Madelyn Kiser
17,5,D,3,Allyn Caskey
18,5,D,5,Yi Rinaldi
19,5,D,7,Jc Mize
20,5,D,8,Regine Callahan
21,5,D,9,Glynis Mcmillian
22,5,D,10,Phuong Boudreau
23,5,D,14,Otilia Fallon
24,5,D,16,Kristian Morse
25,5,D,17,Tanika Atherton
26,5,D,18,Margene Ely
27,5,D,19,Gussie Mortensen
28,5,D,22,Wilford Duffy
29,5,D,24,Mechelle Bustamante
30,5,D,25,Chan Word
31,5,D,26,Glynda March
32,5,D,27,Sindy Osorio
33,5,D,33,Elenora Shackelford
34,5,D,37,Glayds Pringle
35,5,D,38,Elisha Hubert
36,5,E,1,Mitsue Quinonez
37,5,E,2,Lashandra Simms
38,5,E,3,Phebe Allan
39,5,E,4,Janett Lay
40,5,E,5,Niesha Ridley
41,5,E,6,Jamar Bolt
42,5,E,8,Rebecka Peck
43,5,E,9,Shayla Cosby
44,5,E,10,Donte Molina
45,5,E,11,Takako Kerns
46,5,E,12,Delfina Singh
47,5,E,14,Winnie Reeder
48,5,E,15,Yelena Edgar
49,5,E,16,Camellia Valle
50,5,E,17,Novella Cone
51,5,E,19,Veda Macdonald
52,5,E,20,Stacia Starling
53,5,E,21,Jacqualine Driver
54,5,E,22,Sheena Murdock
55,5,E,23,Selma Esposito
56,5,E,24,Jeni Ocampo
57,5,E,25,Williams Sweet
58,5,E,27,Tenesha Sears
59,5,E,29,Hal Muller
60,5,E,32,Lanita Weddle
61,5,E,33,Luvenia Whitaker
62,5,E,35,Samual Fain
63,5,E,36,Fran Callender
64,5,E,38,Loraine Mello
65,5,E,39,Guillermina Harder
66,5,E,40,Madie Blackwell
