Seat no.,Form,Class,Class no.,Name
1,5,A,1,Anastasia Markham
2,5,A,3,Henry Reece
3,5,A,4,Ema Hawley
4,5,A,6,Katheryn Vogt
5,5,A,7,Shayna Lapointe
6,5,A,10,Merlene Hess
7,5,A,14,Serita Boehm
8,5,A,17,Leilani Wilhelm
9,5,A,22,Julieta Stamm
10,5,A,25,Elna Moulton
11,5,A,29,Dulce Moen
12,5,A,32,Lashonda Withers
13,5,A,34,Elwanda Zarate
14,5,A,35,Kaitlin Kane
15,5,B,3,Morton Washburn
16,5,B,4,Waldo Vaughan
17,5,B,5,Marg Leung
18,5,B,8,Xiao Menard
19,5,B,16,Apolonia Haskell
20,5,B,30,Val Mccallister
21,5,B,31,Albina Mccombs
22,5,B,34,Karrie Bollinger
23,5,C,3,Cordia Howerton
24,5,C,4,Carry Burkett
25,5,C,10,Karina Juarez
26,5,C,12,Shannan Dupont
27,5,C,13,Loria Sumpter
28,5,C,15,Stephany Winstead
29,5,C,21,Laureen Cornwell
30,5,C,22,Nathalie Urban
31,5,C,28,Stephane Guest
32,5,C,33,Sharri Coble
33,5,C,34,Sol Mccord
34,5,C,36,Zackary Roper
35,5,C,38,Carma Aiken
36,5,D,1,Concepcion Fagan
37,5,D,4,Mana Clemens
38,5,D,6,Lexie Christman
39,5,D,8,Regine Callahan
40,5,D,10,Phuong Boudreau
41,5,D,12,Evelina Mcelroy
42,5,D,19,Gussie Mortensen
43,5,D,23,Marlin Willard
44,5,D,26,Glynda March
45,5,D,29,Tory Wilde
46,5,D,31,Vita Dodson
47,5,D,33,Elenora Shackelford
48,5,D,34,Winter Ulrich
49,5,D,40,Cyril Sheppard
50,5,E,4,Janett Lay
51,5,E,6,Jamar Bolt
52,5,E,7,Lucrecia Nielson
53,5,E,9,Shayla Cosby
54,5,E,13,Gerry Rowley
55,5,E,16,Camellia Valle
56,5,E,18,Delphia Jean
57,5,E,22,Sheena Murdock
58,5,E,23,Selma Esposito
59,5,E,25,Williams Sweet
60,5,E,30,Tonja Porterfield
61,5,E,31,Lucilla Fitts
62,5,E,34,Kattie Clement
63,5,E,36,Fran Callender
64,5,E,40,Madie Blackwell
