Seat no.,Form,Class,Class no.,Name
1,5,A,2,Kathe Miner
2,5,A,4,Ema Hawley
3,5,A,6,Katheryn Vogt
4,5,A,15,Numbers Norwood
5,5,A,17,Leilani Wilhelm
6,5,A,22,Julieta Stamm
7,5,A,23,Elisha Plummer
8,5,A,29,Dulce Moen
9,5,A,32,Lashonda Withers
10,5,A,35,Kaitlin Kane
11,5,B,4,Waldo Vaughan
12,5,B,10,Douglass Woodcock
13,5,B,11,Edris Beckett
14,5,B,20,Carmina Keene
15,5,B,22,Jong Galloway
16,5,B,26,Deshawn Lockhart
17,5,B,28,Eryn Mattingly
18,5,B,30,Val Mccallister
19,5,B,33,Leeanna Canfield
20,5,C,1,Marchelle Duarte
21,5,C,3,Cordia Howerton
22,5,C,7,Jamika Drummond
23,5,C,8,Denisha Metcalf
24,5,C,10,Karina Juarez
25,5,C,11,Bong Dunbar
26,5,C,12,Shannan Dupont
27,5,C,16,Mee Farrar
28,5,C,17,Les True
29,5,C,20,Marcy Mark
30,5,C,21,Laureen Cornwell
31,5,C,23,Marylouise Dillon
32,5,C,25,Reed Valle
33,5,C,30,Ranee Ziegler
34,5,C,33,Sharri Coble
35,5,C,34,Sol Mccord
36,5,C,35,Marquita Edmonds
37,5,C,36,Zackary Roper
38,5,D,6,Lexie Christman
39,5,D,8,Regine Callahan
40,5,D,11,Valorie Beam
41,5,D,15,Flossie Hurd
42,5,D,16,Kristian Morse
43,5,D,21,Deetta Street
44,5,D,29,Tory Wilde
45,5,D,31,Vita Dodson
46,5,D,34,Winter Ulrich
47,5,D,35,Kathrine Brewster
48,5,E,2,Lashandra Simms
49,5,E,3,Phebe Allan
50,5,E,7,Lucrecia Nielson
51,5,E,8,Rebecka Peck
52,5,E,15,Yelena Edgar
53,5,E,17,Novella Cone
54,5,E,28,Micheal Creel
55,5,E,35,Samual Fain
56,5,E,37,Rosann Bumgarner
