Seat no.,Form,Class,Class no.,Name
1,6,A,2,Cheri Goforth
2,6,A,3,Eric Maurer
3,6,A,4,Mariah Troutman
4,6,A,5,Lane Bivens
5,6,A,8,Jaimee Hardesty
6,6,A,12,Georgiana Meek
7,6,A,14,Cathrine Desantis
8,6,A,15,Angella Goad
9,6,A,18,Trinidad Gillette
10,6,A,19,Germaine Gorham
11,6,A,21,Deedee Ponce
12,6,A,24,Enda Spaulding
13,6,A,26,Briana Lovett
14,6,A,29,Sudie Bartlett
15,6,A,32,Lidia Hinds
16,6,A,33,Jerrod Mcmahan
17,6,A,36,Arron Gant
18,6,A,37,Charissa Spivey
19,6,A,40,Collin Hooker
20,6,A,42,Deandra Douglass
21,6,B,5,Sherrie Pemberton
22,6,B,7,Prince Doll
23,6,B,11,Sana Canada
24,6,B,24,Arvilla Hensley
25,6,B,27,Cleo Diggs
26,6,C,22,Margarito Begay
27,6,C,25,Lidia Crawley
28,6,C,40,Clementina Mcintire
29,6,D,9,Caitlyn Aquino
30,6,D,10,Stephan Pyle
31,6,D,15,Rheba Benefield
32,6,D,22,Tangela Nielson
33,6,D,24,Harrison Bolt
34,6,D,26,Moises Tolliver
35,6,D,27,Ethelyn Sylvester
36,6,D,28,Theo Culp
37,6,D,35,Karyl Fishman
38,6,D,40,Marlyn Forte
39,6,E,8,Tessa Sigler
40,6,E,12,Tyron Ruby
41,6,E,14,Ivonne Mancini
42,6,E,16,Madeleine Whitt
43,6,E,18,Yolando Higdon
44,6,E,21,Mari Moseley
45,6,E,23,Andree Lowry
46,6,E,26,Deon Gurley
47,6,E,39,Tesha Patten
48,6,E,40,Merrilee Blalock
