Seat no.,Form,Class,Class no.,Name
1,6,A,18,Trinidad Gillette
2,6,A,30,Izola Close
3,6,C,1,Milan Cordell
4,6,C,7,Tommie Headrick
5,6,C,11,Francisco Arsenault
6,6,C,15,Georgeanna Cowles
7,6,C,17,Leonore Sage
8,6,D,25,Chantal Mosby
9,6,D,32,Pamella Jett
10,6,D,39,Shameka Garnett
11,6,E,1,Rosalva Keen
12,6,E,2,Alesha Eddy
13,6,E,3,Efrain Walls
14,6,E,4,Twila Pederson
15,6,E,5,Ludivina Hackney
16,6,E,6,Calista Heaton
17,6,E,7,Tianna Aldridge
18,6,E,9,Valentine Stein
19,6,E,10,Tracie Mccracken
20,6,E,11,Rosena Whitfield
21,6,E,12,Tyron Ruby
22,6,E,13,Raelene Macklin
23,6,E,15,Dwain Harp
24,6,E,16,Madeleine Whitt
25,6,E,19,Lyn Shipman
26,6,E,20,Hilario Marino
27,6,E,23,Andree Lowry
28,6,E,24,Orpha Ott
29,6,E,26,Deon Gurley
30,6,E,27,Jerri Ma
31,6,E,29,Cami Best
32,6,E,30,Annis Hamrick
33,6,E,31,Taunya Noland
34,6,E,32,Sparkle Arthur
35,6,E,33,Shawanna Dallas
36,6,E,34,Elana Whitney
37,6,E,35,Freddie Lai
38,6,E,36,Delcie Shook
39,6,E,37,Harold Turney
40,6,E,39,Tesha Patten
41,6,E,40,Merrilee Blalock
