Seat no.,Form,Class,Class no.,Name
1,6,A,7,Charise Ladner
2,6,A,13,Vickey Flannery
3,6,A,15,Angella Goad
4,6,A,16,Qiana Velez
5,6,A,23,Christiana Fulmer
6,6,A,29,Sudie Bartlett
7,6,A,31,Alene Corbett
8,6,A,34,Gerri Spain
9,6,A,39,Gussie Hendrick
10,6,A,41,Marya Hayden
11,6,B,14,Serita Rizzo
12,6,B,16,Kermit Vera
13,6,B,20,Chet Caskey
14,6,C,2,Yanira Wilks
15,6,C,3,Chelsey Ely
16,6,C,5,Cuc Lind
17,6,C,8,Cassidy Hathaway
18,6,C,9,Brain Cleary
19,6,C,14,Rana Hoover
20,6,C,20,Angelic Good
21,6,C,22,Margarito Begay
22,6,C,23,Wilton Hooks
23,6,C,24,Carol Moyer
24,6,C,25,Lidia Crawley
25,6,C,26,Shaneka Boss
26,6,C,27,Shella Hinson
27,6,C,28,Jasper Richard
28,6,C,29,Cleora Scoggins
29,6,C,30,Chuck Laflamme
30,6,C,31,Tia Winters
31,6,C,36,Neta Leon
32,6,C,38,Sachiko Bradbury
33,6,C,41,Lannie Neel
34,6,D,1,Corrine Heck
35,6,D,3,Callie Colburn
36,6,D,4,Werner Roldan
37,6,D,6,Augustine Barbosa
38,6,D,9,Caitlyn Aquino
39,6,D,10,Stephan Pyle
40,6,D,12,Colby Vanwinkle
41,6,D,13,Bethann Loftis
42,6,D,14,Heath Teal
43,6,D,16,Shiela Dolan
44,6,D,17,Zackary Souza
45,6,D,19,Evelynn Howerton
46,6,D,20,Isidro Cope
47,6,D,21,Tyron David
48,6,D,24,Harrison Bolt
49,6,D,26,Moises Tolliver
50,6,D,27,Ethelyn Sylvester
51,6,D,29,Erlinda Hand
52,6,D,30,Agustina Lehmann
53,6,D,34,India Murdock
54,6,D,36,Sherell Crowley
55,6,D,41,Zula Escobedo
56,6,E,3,Efrain Walls
57,6,E,18,Yolando Higdon
58,6,E,24,Orpha Ott
59,6,E,25,Nobuko Blanchard
60,6,E,28,Emely Cardenas
61,6,E,30,Annis Hamrick
