Seat no.,Form,Class,Class no.,Name
1,6,A,1,Babara Arreola
2,6,A,2,Cheri Goforth
3,6,A,6,Andree Stitt
4,6,A,8,Jaimee Hardesty
5,6,A,10,Suellen Larsen
6,6,A,12,Georgiana Meek
7,6,A,14,Cathrine Desantis
8,6,A,16,Qiana Velez
9,6,A,19,Germaine Gorham
10,6,A,23,Christiana Fulmer
11,6,A,24,Enda Spaulding
12,6,A,25,Antione Billingsley
13,6,A,26,Briana Lovett
14,6,A,29,Sudie Bartlett
15,6,A,30,Izola Close
16,6,A,31,Alene Corbett
17,6,A,33,Jerrod Mcmahan
18,6,A,34,Gerri Spain
19,6,A,35,Kanisha Kohn
20,6,A,38,Alysa Glenn
21,6,A,40,Collin Hooker
22,6,A,42,Deandra Douglass
23,6,B,6,Margrett Logsdon
24,6,B,13,Anjanette Velasco
25,6,C,4,Cherryl Bradshaw
26,6,C,10,Elodia Abney
27,6,C,12,Shenna Nettles
28,6,C,15,Georgeanna Cowles
29,6,C,22,Margarito Begay
30,6,C,26,Shaneka Boss
31,6,C,31,Tia Winters
32,6,C,40,Clementina Mcintire
33,6,D,2,Cherish Brennan
34,6,D,3,Callie Colburn
35,6,D,4,Werner Roldan
36,6,D,7,Synthia Ordonez
37,6,D,8,Shasta Goins
38,6,D,9,Caitlyn Aquino
39,6,D,10,Stephan Pyle
40,6,D,11,Bruna Whatley
41,6,D,12,Colby Vanwinkle
42,6,D,14,Heath Teal
43,6,D,15,Rheba Benefield
44,6,D,22,Tangela Nielson
45,6,D,23,Mitchel Carbajal
46,6,D,25,Chantal Mosby
47,6,D,28,Theo Culp
48,6,D,29,Erlinda Hand
49,6,D,31,Edie Mcclure
50,6,D,32,Pamella Jett
51,6,D,33,Rory Lancaster
52,6,D,35,Karyl Fishman
53,6,D,39,Shameka Garnett
54,6,D,40,Marlyn Forte
55,6,E,1,Rosalva Keen
56,6,E,2,Alesha Eddy
57,6,E,3,Efrain Walls
58,6,E,6,Calista Heaton
59,6,E,7,Tianna Aldridge
60,6,E,8,Tessa Sigler
61,6,E,9,Valentine Stein
62,6,E,10,Tracie Mccracken
63,6,E,12,Tyron Ruby
64,6,E,13,Raelene Macklin
65,6,E,14,Ivonne Mancini
66,6,E,15,Dwain Harp
67,6,E,16,Madeleine Whitt
68,6,E,17,Lorri Nabors
69,6,E,19,Lyn Shipman
70,6,E,20,Hilario Marino
71,6,E,21,Mari Moseley
72,6,E,23,Andree Lowry
73,6,E,26,Deon Gurley
74,6,E,27,Jerri Ma
75,6,E,31,Taunya Noland
76,6,E,32,Sparkle Arthur
77,6,E,33,Shawanna Dallas
78,6,E,34,Elana Whitney
79,6,E,35,Freddie Lai
80,6,E,37,Harold Turney
81,6,E,38,Eleonor Maes
82,6,E,39,Tesha Patten
83,6,E,40,Merrilee Blalock
