Seat no.,Form,Class,Class no.,Name
1,6,A,3,Eric Maurer
2,6,A,7,Charise Ladner
3,6,A,9,Leonila Hobson
4,6,A,10,Suellen Larsen
5,6,A,13,Vickey Flannery
6,6,A,17,Yessenia Headrick
7,6,A,20,Charlette Read
8,6,A,21,Deedee Ponce
9,6,A,22,Trisha Ponder
10,6,A,25,Antione Billingsley
11,6,A,28,Brittanie Goff
12,6,A,32,Lidia Hinds
13,6,A,35,Kanisha Kohn
14,6,A,38,Alysa Glenn
15,6,A,39,Gussie Hendrick
16,6,A,41,Marya Hayden
17,6,B,4,Dionna Devito
18,6,B,8,Vilma Holliday
19,6,B,17,Hilario Houser
20,6,B,18,Lianne Fusco
21,6,C,2,Yanira Wilks
22,6,C,4,Cherryl Bradshaw
23,6,C,5,Cuc Lind
24,6,C,7,Tommie Headrick
25,6,C,8,Cassidy Hathaway
26,6,C,10,Elodia Abney
27,6,C,11,Francisco Arsenault
28,6,C,12,Shenna Nettles
29,6,C,16,Reba Churchill
30,6,C,17,Leonore Sage
31,6,C,18,Marcela Hawley
32,6,C,19,Dan Bozeman
33,6,C,20,Angelic Good
34,6,C,24,Carol Moyer
35,6,C,28,Jasper Richard
36,6,C,29,Cleora Scoggins
37,6,C,30,Chuck Laflamme
38,6,C,35,Joanie Bair
39,6,C,36,Neta Leon
40,6,C,38,Sachiko Bradbury
41,6,C,39,Vesta Dailey
42,6,C,41,Lannie Neel
43,6,D,1,Corrine Heck
44,6,D,2,Cherish Brennan
45,6,D,3,Callie Colburn
46,6,D,5,Gayle Gann
47,6,D,6,Augustine Barbosa
48,6,D,7,Synthia Ordonez
49,6,D,8,Shasta Goins
50,6,D,13,Bethann Loftis
51,6,D,16,Shiela Dolan
52,6,D,17,Zackary Souza
53,6,D,18,Star Dickens
54,6,D,19,Evelynn Howerton
55,6,D,20,Isidro Cope
56,6,D,21,Tyron David
57,6,D,30,Agustina Lehmann
58,6,D,33,Rory Lancaster
59,6,D,41,Zula Escobedo
60,6,E,4,Twila Pederson
61,6,E,17,Lorri Nabors
62,6,E,22,Katina Esquivel
63,6,E,25,Nobuko Blanchard
64,6,E,38,Eleonor Maes
