Seat no.,Form,Class,Class no.,Name
1,6,B,1,Maura Bess
2,6,B,2,Cammy Moyer
3,6,B,3,Rosette Sinclair
4,6,B,5,Sherrie Pemberton
5,6,B,8,Vilma Holliday
6,6,B,9,Trinity Dupree
7,6,B,10,Marla Tirado
8,6,B,11,Sana Canada
9,6,B,12,Lala Harry
10,6,B,13,Anjanette Velasco
11,6,B,16,Kermit Vera
12,6,B,18,Lianne Fusco
13,6,B,19,Cordelia Heim
14,6,B,20,Chet Caskey
15,6,B,21,Ma Coffin
16,6,B,22,Deangelo Asher
17,6,B,23,Cyndy Sprague
18,6,B,24,Arvilla Hensley
19,6,B,25,Michael Duff
20,6,B,26,Antonio Holder
21,6,B,28,Aimee Tiller
22,6,B,29,Elvis Gentry
