Seat no.,Form,Class,Class no.,Name
1,4,A,23,Buford Benedict
2,4,A,36,Marna Nabors
3,4,B,7,Laurette Hanks
4,4,B,8,Yevette Rosenthal
5,4,B,10,Willia Spivey
6,4,B,14,Daysi Peachey
7,4,B,15,Audrea Nixon
8,4,B,16,Allen Cleveland
9,4,B,20,Genny Henning
10,4,B,26,Vada Pogue
11,4,B,34,Jewel Domingo
12,4,C,2,Gary Mosley
13,4,C,3,Latoyia Broderick
14,4,C,7,Fredia Mattingly
15,4,C,9,Mackenzie Cardwell
16,4,C,11,Lesha Fairley
17,4,C,14,Nathanial Justice
18,4,C,18,Lane Belton
19,4,C,20,Denny Pollack
20,4,C,22,Dominque Harder
21,4,C,23,Dewitt Aleman
22,4,C,25,Chante Barlow
23,4,C,26,Loreen Irvine
24,4,C,29,Misti Coburn
25,4,C,30,Tereasa Barney
26,4,C,31,Jazmin Shannon
27,4,C,32,Cuc Wilke
28,4,C,34,Katina Nielson
29,4,C,35,Claudine Cote
30,4,C,36,Gia Cranford
31,4,D,4,Earle Dortch
32,4,D,9,Theresia Beebe
33,4,D,14,Jada Avery
34,4,D,17,Mila Rosas
35,4,D,24,Rhett Mcginnis
36,4,D,26,Christiana Baer
37,4,E,3,Steffanie Regalado
38,4,E,4,Piedad Spearman
39,4,E,32,Brittaney Stacy
40,4,E,35,Alverta Crump
41,4,E,36,Estefana Abrams
