Seat no.,Form,Class,Class no.,Name
1,4,A,5,Afton Aldrich
2,4,A,7,Leslee Tejeda
3,4,A,12,Lashaun Strain
4,4,A,14,Grover Ogden
5,4,A,17,Lesia Velez
6,4,A,20,Reba Townes
7,4,A,25,Ardelia Stinson
8,4,A,26,Jacinto Mauldin
9,4,A,28,Oswaldo Gilmore
10,4,A,30,Katia Roach
11,4,A,35,Dayna Casper
12,4,B,13,Angelic Morley
13,4,B,18,Nakesha Trotter
14,4,B,19,Theron Boykin
15,4,B,22,Dorla Weatherford
16,4,B,33,Alex Hartley
17,4,B,36,Cruz Betts
18,4,D,1,Joanie Asher
19,4,D,3,Meridith Gruber
20,4,D,5,Jerrold Orosco
21,4,D,6,Adrien Elmore
22,4,D,8,Na Alley
23,4,D,10,Young Ogden
24,4,D,11,Damian Spears
25,4,D,12,Maryrose Shuman
26,4,D,13,Vella Spear
27,4,D,15,Lorina Charlton
28,4,D,16,Troy Pulley
29,4,D,20,Mikki Busch
30,4,D,27,Reid Rodrigues
31,4,D,30,Chase Mclain
32,4,D,34,Deandra Ponce
33,4,D,35,Alex Ricketts
34,4,D,36,Margery Vickery
35,4,E,1,Kory Hobbs
36,4,E,2,Victorina Espino
37,4,E,5,Olympia Satterfield
38,4,E,6,Ariane Riggins
39,4,E,8,Laurinda Nagel
40,4,E,9,Marvella Mangum
41,4,E,10,Nieves Weed
42,4,E,11,Elane Holcombe
43,4,E,12,Kam Cade
44,4,E,14,Mauro Fitzsimmons
45,4,E,16,Magali Cromer
46,4,E,17,Abdul Hannon
47,4,E,18,Soledad Colson
48,4,E,20,Lolita Bullard
49,4,E,22,Jenice Ledbetter
50,4,E,23,Jacqui Maestas
51,4,E,26,Patrice Boynton
52,4,E,29,Latrice Jarvis
53,4,E,30,Glennie Damico
54,4,E,34,Cassie Magee
55,4,E,36,Estefana Abrams
